Index,Zeit[s],Drehzahl[1/min],Generatorspannung[V],Motorspannung[V],Strommessung[A],Temperatur[C]
1, 0.0000, 28.1080, 0.0501, 5.8135, 0.4873, 19.6425
2, 0.0005, 28.1080, 0.0452, 5.8350, 0.4853, 19.6425
3, 0.0010, 33.2185, 0.0647, 5.8262, 0.4873, 19.6425
4, 0.0015, 32.6507, 0.0671, 5.8311, 0.4833, 19.6425
5, 0.0020, 36.6256, 0.0696, 5.8233, 0.4792, 19.6425
6, 0.0025, 33.2185, 0.0720, 5.8409, 0.4751, 19.6425
7, 0.0030, 35.4899, 0.0818, 5.8482, 0.4690, 19.6424
8, 0.0035, 38.8969, 0.0720, 5.8428, 0.4629, 19.6424
9, 0.0040, 38.8969, 0.0598, 5.8267, 0.4710, 19.6424
10, 0.0045, 42.3039, 0.0794, 5.8091, 0.4751, 19.6424
11, 0.0050, 39.4648, 0.0671, 5.8418, 0.4690, 19.6424
12, 0.0055, 41.7361, 0.0671, 5.8404, 0.4649, 19.6424
13, 0.0060, 41.7361, 0.0647, 5.8453, 0.4609, 19.6424
14, 0.0065, 45.7110, 0.0696, 5.8360, 0.4527, 19.6424
15, 0.0070, 48.5502, 0.0696, 5.8711, 0.4446, 19.6424
16, 0.0075, 46.2788, 0.0671, 5.8858, 0.4324, 19.6424
17, 0.0080, 48.5502, 0.0549, 5.8726, 0.4222, 19.6424
18, 0.0085, 46.8467, 0.0598, 5.8872, 0.4100, 19.6423
19, 0.0090, 50.8215, 0.0598, 5.9048, 0.4059, 19.6423
20, 0.0095, 51.9572, 0.0525, 5.8921, 0.4059, 19.6423
21, 0.0100, 51.3894, 0.0525, 5.9302, 0.4059, 19.6423
22, 0.0105, 53.0929, 0.0525, 5.9039, 0.4120, 19.6423
23, 0.0110, 51.3894, 0.0452, 5.9014, 0.4141, 19.6423
24, 0.0115, 56.4999, 0.0378, 5.8848, 0.4120, 19.6423
25, 0.0120, 55.3642, 0.0476, 5.8872, 0.4100, 19.6423
26, 0.0125, 57.0677, 0.0378, 5.8848, 0.4120, 19.6423
27, 0.0130, 58.2034, 0.0354, 5.8838, 0.4181, 19.6423
28, 0.0135, 55.3642, 0.0452, 5.8804, 0.4263, 19.6422
29, 0.0140, 61.0426, 0.0476, 5.8819, 0.4304, 19.6422
30, 0.0145, 61.0426, 0.0403, 5.8819, 0.4304, 19.6422
31, 0.0150, 63.3140, 0.0525, 6.0236, 0.4446, 19.6422
32, 0.0155, 62.7461, 0.0525, 6.0299, 0.4446, 19.6422
33, 0.0160, 62.7461, 0.0647, 6.0236, 0.4446, 19.6422
34, 0.0165, 67.2888, 0.0623, 6.0245, 0.4649, 19.6422
35, 0.0170, 66.1532, 0.0745, 6.0402, 0.4466, 19.6422
36, 0.0175, 70.1280, 0.0818, 6.0065, 0.4588, 19.6422
37, 0.0180, 67.8567, 0.0794, 6.0236, 0.4710, 19.6422
38, 0.0185, 68.4245, 0.0867, 6.0026, 0.4833, 19.6422
39, 0.0190, 71.2637, 0.0916, 5.9864, 0.4914, 19.6421
40, 0.0195, 70.1280, 0.1087, 5.9640, 0.4995, 19.6421
41, 0.0200, 74.6707, 0.0989, 5.9615, 0.5016, 19.6421
42, 0.0205, 72.3994, 0.1087, 5.9527, 0.5036, 19.6421
43, 0.0210, 75.2386, 0.1135, 5.9527, 0.5036, 19.6421
44, 0.0215, 75.8064, 0.1282, 5.9733, 0.5077, 19.6421
45, 0.0220, 78.6456, 0.1184, 5.9527, 0.5036, 19.6421
46, 0.0225, 82.0526, 0.1257, 6.0006, 0.4690, 19.6421
47, 0.0230, 80.3491, 0.1282, 5.9928, 0.4649, 19.6421
48, 0.0235, 82.0526, 0.1209, 6.0089, 0.4568, 19.6421
49, 0.0240, 80.3491, 0.1233, 6.0040, 0.4609, 19.6421
50, 0.0245, 84.8918, 0.1306, 6.0367, 0.4548, 19.6420
51, 0.0250, 87.1632, 0.1306, 6.0211, 0.4466, 19.6420
52, 0.0255, 86.5953, 0.1331, 6.0636, 0.4324, 19.6420
53, 0.0260, 90.0024, 0.1331, 6.0490, 0.4446, 19.6420
54, 0.0265, 87.1632, 0.1306, 6.0328, 0.4527, 19.6420
55, 0.0270, 91.1380, 0.1306, 6.0343, 0.4304, 19.6420
56, 0.0275, 91.7059, 0.1184, 6.1726, 0.4792, 19.6420
57, 0.0280, 93.4094, 0.1306, 6.1433, 0.4771, 19.6420
58, 0.0285, 95.1129, 0.1257, 6.3186, 0.4792, 19.6420
59, 0.0290, 93.9772, 0.1111, 6.3220, 0.4710, 19.6420
60, 0.0295, 96.8164, 0.1038, 6.3118, 0.4690, 19.6420
61, 0.0300, 96.8164, 0.1013, 6.3264, 0.4568, 19.6419
62, 0.0305, 101.3591, 0.1087, 6.3269, 0.4670, 19.6419
63, 0.0310, 101.3591, 0.1062, 6.3455, 0.4568, 19.6419
64, 0.0315, 101.3591, 0.0964, 6.3728, 0.4446, 19.6419
65, 0.0320, 104.1983, 0.1038, 6.3733, 0.4283, 19.6419
66, 0.0325, 103.0626, 0.0964, 6.4061, 0.4222, 19.6419
67, 0.0330, 107.6053, 0.0989, 6.3924, 0.4283, 19.6419
68, 0.0335, 107.0375, 0.1038, 6.3875, 0.4324, 19.6419
69, 0.0340, 107.0375, 0.1087, 6.3914, 0.4344, 19.6419
70, 0.0345, 109.3089, 0.1013, 6.3587, 0.4405, 19.6419
71, 0.0350, 109.3089, 0.1038, 6.3465, 0.4507, 19.6419
72, 0.0355, 112.7159, 0.1111, 6.3391, 0.4568, 19.6418
73, 0.0360, 112.1480, 0.1111, 6.3089, 0.4609, 19.6418
74, 0.0365, 114.9872, 0.1087, 6.3333, 0.4670, 19.6418
75, 0.0370, 114.9872, 0.1233, 6.3245, 0.4690, 19.6418
76, 0.0375, 116.1229, 0.1404, 6.4803, 0.4873, 19.6418
77, 0.0380, 119.5299, 0.1404, 6.4803, 0.4873, 19.6418
78, 0.0385, 118.9621, 0.1477, 6.5898, 0.5178, 19.6418
79, 0.0390, 121.8013, 0.1502, 6.5702, 0.5341, 19.6418
80, 0.0395, 120.6656, 0.1648, 6.6782, 0.5606, 19.6418
81, 0.0400, 123.5048, 0.1575, 6.7095, 0.5504, 19.6418
82, 0.0405, 125.7762, 0.1575, 6.8287, 0.5728, 19.6418
83, 0.0410, 126.3440, 0.1648, 6.8448, 0.5646, 19.6417
84, 0.0415, 130.3189, 0.1892, 6.8492, 0.5504, 19.6417
85, 0.0420, 128.6154, 0.1697, 6.8878, 0.5341, 19.6417
86, 0.0425, 132.5902, 0.1917, 6.8956, 0.5117, 19.6417
87, 0.0430, 133.1581, 0.1917, 6.8907, 0.5158, 19.6417
88, 0.0435, 134.8616, 0.1868, 6.8883, 0.5178, 19.6417
89, 0.0440, 138.2686, 0.1868, 6.8970, 0.5158, 19.6417
90, 0.0445, 135.9973, 0.2014, 6.9044, 0.5097, 19.6417
91, 0.0450, 139.9721, 0.1868, 6.9005, 0.5077, 19.6417
92, 0.0455, 139.9721, 0.1868, 6.8790, 0.5362, 19.6417
93, 0.0460, 142.2435, 0.1892, 6.8839, 0.5321, 19.6417
94, 0.0465, 144.5148, 0.1966, 6.9102, 0.5260, 19.6416
95, 0.0470, 144.5148, 0.1819, 6.8902, 0.5321, 19.6416
96, 0.0475, 147.9219, 0.1795, 6.9078, 0.5280, 19.6416
97, 0.0480, 146.2183, 0.1795, 7.0768, 0.5036, 19.6416
98, 0.0485, 150.1932, 0.2039, 7.0939, 0.4894, 19.6416
99, 0.0490, 150.1932, 0.1990, 7.2478, 0.4934, 19.6416
100, 0.0495, 152.4646, 0.1673, 7.2639, 0.4853, 19.6416
101, 0.0500, 154.1681, 0.1746, 7.4168, 0.4955, 19.6416
102, 0.0505, 154.1681, 0.1746, 7.3992, 0.4995, 19.6416
103, 0.0510, 157.0073, 0.1306, 7.3509, 0.5239, 19.6416
104, 0.0515, 155.8716, 0.1575, 7.3797, 0.5158, 19.6416
105, 0.0520, 158.7108, 0.1673, 7.3030, 0.5585, 19.6415
106, 0.0525, 159.8465, 0.1599, 7.3357, 0.5524, 19.6415
107, 0.0530, 160.4143, 0.1575, 7.2825, 0.5809, 19.6415
108, 0.0535, 164.9570, 0.1648, 7.2830, 0.5911, 19.6415
109, 0.0540, 163.2535, 0.1770, 7.2708, 0.6013, 19.6415
110, 0.0545, 167.7962, 0.1795, 7.3138, 0.5707, 19.6415
111, 0.0550, 167.7962, 0.1770, 7.3553, 0.5362, 19.6415
112, 0.0555, 169.4997, 0.1966, 7.3563, 0.5301, 19.6415
113, 0.0560, 171.2032, 0.1892, 7.2781, 0.5158, 19.6415
114, 0.0565, 170.0675, 0.1843, 7.1657, 0.5301, 19.6415
115, 0.0570, 174.0424, 0.1795, 7.3064, 0.5769, 19.6415
116, 0.0575, 172.3389, 0.1966, 7.4413, 0.5809, 19.6414
117, 0.0580, 175.1781, 0.2088, 7.4598, 0.5707, 19.6414
118, 0.0585, 176.8816, 0.2185, 7.6420, 0.5565, 19.6414
119, 0.0590, 176.3138, 0.2136, 7.6303, 0.5504, 19.6414
120, 0.0595, 178.5851, 0.2283, 7.6328, 0.5484, 19.6414
121, 0.0600, 178.0173, 0.2210, 7.6679, 0.5402, 19.6414
122, 0.0605, 180.8565, 0.2307, 7.6469, 0.5524, 19.6414
123, 0.0610, 180.8565, 0.2405, 7.5981, 0.5931, 19.6414
124, 0.0615, 183.6957, 0.2649, 7.6171, 0.5667, 19.6414
125, 0.0620, 184.8313, 0.2527, 7.5610, 0.6135, 19.6414
126, 0.0625, 184.8313, 0.2649, 7.5366, 0.6338, 19.6414
127, 0.0630, 188.2384, 0.2649, 7.5317, 0.6379, 19.6413
128, 0.0635, 186.5349, 0.2478, 7.5888, 0.5850, 19.6413
129, 0.0640, 190.5097, 0.2527, 7.6269, 0.5585, 19.6413
130, 0.0645, 190.5097, 0.2723, 7.6928, 0.5036, 19.6413
131, 0.0650, 189.3740, 0.2649, 7.6787, 0.5260, 19.6413
132, 0.0655, 191.0776, 0.2698, 7.4613, 0.5219, 19.6413
133, 0.0660, 189.9419, 0.2698, 7.2351, 0.4934, 19.6413
134, 0.0665, 193.9167, 0.2771, 7.1296, 0.5178, 19.6413
135, 0.0670, 193.9167, 0.2723, 7.3866, 0.5524, 19.6413
136, 0.0675, 196.1881, 0.2527, 7.7481, 0.5952, 19.6413
137, 0.0680, 198.4595, 0.2478, 7.7676, 0.5789, 19.6413
138, 0.0685, 199.0273, 0.2527, 7.9547, 0.5606, 19.6412
139, 0.0690, 203.5700, 0.2576, 7.9879, 0.5382, 19.6412
140, 0.0695, 204.1378, 0.2429, 7.9781, 0.5463, 19.6412
141, 0.0700, 208.1127, 0.2552, 7.9586, 0.5626, 19.6412
142, 0.0705, 208.1127, 0.2478, 7.9249, 0.5748, 19.6412
143, 0.0710, 210.3841, 0.2405, 7.8756, 0.6053, 19.6412
144, 0.0715, 212.6554, 0.2381, 7.8829, 0.6257, 19.6412
145, 0.0720, 215.4946, 0.2552, 7.8390, 0.6623, 19.6412
146, 0.0725, 218.9016, 0.2429, 7.8556, 0.6379, 19.6412
147, 0.0730, 218.9016, 0.2356, 7.9049, 0.5809, 19.6412
148, 0.0735, 221.1730, 0.2576, 7.9273, 0.5728, 19.6411
149, 0.0740, 224.0122, 0.2674, 7.9337, 0.5728, 19.6411
150, 0.0745, 225.1479, 0.2625, 7.9293, 0.5606, 19.6411
151, 0.0750, 227.4192, 0.2625, 7.6728, 0.5626, 19.6411
152, 0.0755, 227.9870, 0.2625, 7.3142, 0.5280, 19.6411
153, 0.0760, 231.9619, 0.2723, 7.0680, 0.4792, 19.6411
154, 0.0765, 230.8262, 0.2845, 7.1491, 0.4222, 19.6411
155, 0.0770, 231.9619, 0.2771, 7.5482, 0.4548, 19.6411
156, 0.0775, 233.6654, 0.2942, 8.1686, 0.5199, 19.6411
157, 0.0780, 234.8011, 0.2893, 8.1310, 0.5301, 19.6411
158, 0.0785, 237.6403, 0.2967, 8.2395, 0.5667, 19.6411
159, 0.0790, 237.0725, 0.2918, 8.1706, 0.6135, 19.6410
160, 0.0795, 240.4795, 0.2942, 8.3079, 0.6420, 19.6410
161, 0.0800, 241.6152, 0.3040, 8.2410, 0.6766, 19.6410
162, 0.0805, 243.3187, 0.2918, 8.2728, 0.6501, 19.6410
163, 0.0810, 246.1579, 0.3211, 8.3626, 0.5911, 19.6410
164, 0.0815, 246.1579, 0.3431, 8.3626, 0.5911, 19.6410
165, 0.0820, 249.5649, 0.3406, 8.3651, 0.5891, 19.6410
166, 0.0825, 249.5649, 0.3504, 8.3431, 0.6074, 19.6410
167, 0.0830, 251.8362, 0.3382, 8.3494, 0.6074, 19.6410
168, 0.0835, 252.9719, 0.3431, 8.3441, 0.6013, 19.6410
169, 0.0840, 253.5398, 0.3455, 8.3729, 0.5667, 19.6410
170, 0.0845, 255.8111, 0.3357, 8.0792, 0.5097, 19.6409
171, 0.0850, 254.6754, 0.3382, 7.7700, 0.4710, 19.6409
172, 0.0855, 256.9468, 0.3504, 7.4569, 0.4568, 19.6409
173, 0.0860, 256.3790, 0.3455, 7.1535, 0.4609, 19.6409
174, 0.0865, 256.3790, 0.3455, 7.1330, 0.4833, 19.6409
175, 0.0870, 258.6503, 0.3382, 7.4115, 0.5158, 19.6409
176, 0.0875, 256.9468, 0.3455, 7.9200, 0.6053, 19.6409
177, 0.0880, 260.3538, 0.3284, 8.5141, 0.5972, 19.6409
178, 0.0885, 258.6503, 0.3431, 8.6601, 0.5972, 19.6409
179, 0.0890, 259.2181, 0.3504, 8.6377, 0.6053, 19.6409
180, 0.0895, 260.9217, 0.3382, 8.6010, 0.6359, 19.6409
181, 0.0900, 259.7860, 0.3138, 8.5864, 0.6481, 19.6408
182, 0.0905, 262.0573, 0.3260, 8.5673, 0.6481, 19.6408
183, 0.0910, 260.9217, 0.3235, 8.6259, 0.5992, 19.6408
184, 0.0915, 266.0322, 0.3138, 8.6601, 0.5707, 19.6408
185, 0.0920, 268.8714, 0.3138, 8.7021, 0.5463, 19.6408
186, 0.0925, 272.2784, 0.3235, 8.7041, 0.5606, 19.6408
187, 0.0930, 274.5498, 0.3113, 8.6289, 0.6074, 19.6408
188, 0.0935, 276.2533, 0.3186, 8.6284, 0.5972, 19.6408
189, 0.0940, 280.7960, 0.3235, 8.4418, 0.6257, 19.6408
190, 0.0945, 283.0673, 0.3382, 8.1296, 0.5524, 19.6408
191, 0.0950, 286.4744, 0.3333, 7.7847, 0.5117, 19.6408
192, 0.0955, 286.4744, 0.3528, 7.4710, 0.4873, 19.6407
193, 0.0960, 288.1779, 0.3577, 7.2693, 0.4649, 19.6407
194, 0.0965, 290.4492, 0.3431, 7.2004, 0.4853, 19.6407
195, 0.0970, 292.1528, 0.3602, 7.4671, 0.5117, 19.6407
196, 0.0975, 295.5598, 0.3724, 8.1642, 0.5077, 19.6407
197, 0.0980, 294.9920, 0.3626, 8.8335, 0.5585, 19.6407
198, 0.0985, 296.6955, 0.3699, 8.7891, 0.5850, 19.6407
199, 0.0990, 300.1025, 0.3821, 8.9396, 0.5972, 19.6407
200, 0.0995, 301.2382, 0.3895, 8.9654, 0.5809, 19.6407
201, 0.1000, 306.3487, 0.3919, 9.0324, 0.6257, 19.6407
202, 0.1005, 305.7809, 0.3943, 9.0124, 0.6318, 19.6407
203, 0.1010, 308.0522, 0.4017, 9.0700, 0.5891, 19.6406
204, 0.1015, 308.6201, 0.4236, 9.0104, 0.6440, 19.6406
205, 0.1020, 310.3236, 0.4236, 8.9904, 0.6766, 19.6406
206, 0.1025, 313.7306, 0.3919, 9.0226, 0.6338, 19.6406
207, 0.1030, 314.2985, 0.4285, 9.0680, 0.6013, 19.6406
208, 0.1035, 316.0020, 0.4188, 8.9776, 0.5707, 19.6406
209, 0.1040, 314.2985, 0.4139, 8.5785, 0.5382, 19.6406
210, 0.1045, 315.4341, 0.4065, 8.1686, 0.5199, 19.6406
211, 0.1050, 317.1376, 0.4017, 7.7910, 0.5117, 19.6406
212, 0.1055, 317.7055, 0.4041, 7.4495, 0.4894, 19.6406
213, 0.1060, 320.5447, 0.4090, 7.2141, 0.4792, 19.6406
214, 0.1065, 318.8412, 0.4285, 7.1745, 0.4751, 19.6405
215, 0.1070, 319.9768, 0.4358, 7.5722, 0.4771, 19.6405
216, 0.1075, 318.8412, 0.4456, 8.1066, 0.5504, 19.6405
217, 0.1080, 317.7055, 0.4358, 8.8477, 0.6155, 19.6405
218, 0.1085, 318.8412, 0.4358, 9.3152, 0.6175, 19.6405
219, 0.1090, 319.4090, 0.3943, 9.3328, 0.5870, 19.6405
220, 0.1095, 320.5447, 0.4114, 9.4725, 0.5870, 19.6405
221, 0.1100, 318.8412, 0.3821, 9.4706, 0.5992, 19.6405
222, 0.1105, 319.9768, 0.3992, 9.4198, 0.6257, 19.6405
223, 0.1110, 321.6803, 0.4090, 9.4125, 0.6318, 19.6405
224, 0.1115, 323.3839, 0.3797, 9.4295, 0.6175, 19.6405
225, 0.1120, 333.0371, 0.3992, 9.3753, 0.6786, 19.6404
226, 0.1125, 334.1728, 0.3992, 9.4496, 0.6114, 19.6404
227, 0.1130, 337.5798, 0.3992, 9.3123, 0.6359, 19.6404
228, 0.1135, 339.2833, 0.4163, 8.8262, 0.6175, 19.6404
229, 0.1140, 343.2582, 0.4163, 8.5492, 0.5362, 19.6404
230, 0.1145, 345.5296, 0.4065, 8.2834, 0.4771, 19.6404
231, 0.1150, 347.2331, 0.3870, 8.0108, 0.4344, 19.6404
232, 0.1155, 348.9366, 0.3968, 7.6249, 0.4385, 19.6404
233, 0.1160, 348.3687, 0.3992, 7.3953, 0.4181, 19.6404
234, 0.1165, 351.2079, 0.4188, 7.3938, 0.4141, 19.6404
235, 0.1170, 353.4793, 0.4139, 7.6327, 0.4690, 19.6404
236, 0.1175, 355.7506, 0.4456, 8.1980, 0.5219, 19.6403
237, 0.1180, 357.4542, 0.4603, 8.9391, 0.5870, 19.6403
238, 0.1185, 358.0220, 0.4651, 9.6255, 0.6766, 19.6403
239, 0.1190, 361.4290, 0.4627, 9.6387, 0.6867, 19.6403
240, 0.1195, 362.5647, 0.4749, 9.6875, 0.6460, 19.6403
241, 0.1200, 365.9717, 0.4651, 9.6875, 0.6460, 19.6403
242, 0.1205, 366.5396, 0.4310, 9.7095, 0.6277, 19.6403
243, 0.1210, 365.4039, 0.4529, 9.6909, 0.6379, 19.6403
244, 0.1215, 367.1074, 0.4725, 9.6386, 0.6603, 19.6403
245, 0.1220, 367.1074, 0.4822, 9.5830, 0.6908, 19.6403
246, 0.1225, 371.6501, 0.4700, 9.6372, 0.6562, 19.6403
247, 0.1230, 371.0823, 0.4993, 9.2810, 0.6196, 19.6402
248, 0.1235, 371.6501, 0.4993, 8.8555, 0.5931, 19.6402
249, 0.1240, 371.0823, 0.5067, 8.4808, 0.5402, 19.6402
250, 0.1245, 370.5144, 0.4749, 8.2839, 0.4609, 19.6402
251, 0.1250, 372.7858, 0.4969, 7.9048, 0.4487, 19.6402
252, 0.1255, 370.5144, 0.4920, 7.6088, 0.4202, 19.6402
253, 0.1260, 368.8109, 0.4993, 7.3958, 0.4019, 19.6402
254, 0.1265, 365.9717, 0.4944, 7.3591, 0.3795, 19.6402
255, 0.1270, 363.7004, 0.4749, 7.5775, 0.4568, 19.6402
256, 0.1275, 365.4039, 0.5067, 8.1159, 0.5585, 19.6402
257, 0.1280, 366.5396, 0.5140, 8.9264, 0.5870, 19.6402
258, 0.1285, 369.3788, 0.5042, 9.6802, 0.6786, 19.6401
259, 0.1290, 376.1928, 0.5018, 9.8101, 0.7396, 19.6401
260, 0.1295, 381.3034, 0.5042, 9.9010, 0.6481, 19.6401
261, 0.1300, 384.1426, 0.4676, 9.8819, 0.6481, 19.6401
262, 0.1305, 387.5496, 0.4725, 9.8956, 0.6684, 19.6401
263, 0.1310, 392.6601, 0.4822, 9.8888, 0.6582, 19.6401
264, 0.1315, 392.6601, 0.4944, 9.8101, 0.7132, 19.6401
265, 0.1320, 396.0672, 0.4603, 9.7887, 0.7417, 19.6401
266, 0.1325, 400.6099, 0.4700, 9.6572, 0.6501, 19.6401
267, 0.1330, 403.4490, 0.4798, 9.2141, 0.6013, 19.6401
268, 0.1335, 406.2882, 0.4871, 8.8238, 0.5667, 19.6400
269, 0.1340, 406.8561, 0.4871, 8.3636, 0.5585, 19.6400
270, 0.1345, 407.4239, 0.4651, 8.1349, 0.4792, 19.6400
271, 0.1350, 409.1274, 0.4603, 7.8501, 0.4466, 19.6400
272, 0.1355, 410.8309, 0.4847, 7.5374, 0.4161, 19.6400
273, 0.1360, 412.5345, 0.4920, 7.2331, 0.4263, 19.6400
274, 0.1365, 410.8309, 0.4944, 7.1745, 0.4487, 19.6400
275, 0.1370, 411.3988, 0.5164, 7.5726, 0.4344, 19.6400
276, 0.1375, 411.3988, 0.5335, 8.1325, 0.5077, 19.6400
277, 0.1380, 413.6701, 0.5286, 8.9669, 0.5585, 19.6400
278, 0.1385, 413.6701, 0.5433, 9.8013, 0.6359, 19.6400
279, 0.1390, 413.6701, 0.5189, 10.1086, 0.6603, 19.6399
280, 0.1395, 413.6701, 0.5140, 10.0935, 0.6623, 19.6399
281, 0.1400, 413.6701, 0.5164, 10.1975, 0.6867, 19.6399
282, 0.1405, 414.2380, 0.5677, 10.1633, 0.7152, 19.6399
283, 0.1410, 414.2380, 0.5408, 10.0925, 0.7742, 19.6399
284, 0.1415, 413.6701, 0.5848, 10.1858, 0.6806, 19.6399
285, 0.1420, 406.8561, 0.5726, 10.1115, 0.6949, 19.6399
286, 0.1425, 406.2882, 0.5799, 9.6215, 0.6481, 19.6399
287, 0.1430, 410.2631, 0.5555, 9.2068, 0.6074, 19.6399
288, 0.1435, 413.6701, 0.5482, 8.7871, 0.5707, 19.6399
289, 0.1440, 419.3485, 0.6190, 8.4784, 0.5158, 19.6399
290, 0.1445, 422.1877, 0.5677, 8.1095, 0.5056, 19.6398
291, 0.1450, 425.0269, 0.5530, 7.7324, 0.4812, 19.6398
292, 0.1455, 429.0018, 0.5823, 7.4793, 0.4222, 19.6398
293, 0.1460, 431.2731, 0.5872, 7.3000, 0.3917, 19.6398
294, 0.1465, 434.1123, 0.6043, 7.2976, 0.3937, 19.6398
295, 0.1470, 433.5445, 0.5701, 7.6933, 0.4080, 19.6398
296, 0.1475, 436.3837, 0.5872, 8.1833, 0.5077, 19.6398
297, 0.1480, 438.6550, 0.5482, 8.9728, 0.5748, 19.6398
298, 0.1485, 440.3585, 0.5823, 9.9024, 0.5992, 19.6398
299, 0.1490, 443.7656, 0.5506, 10.2865, 0.7925, 19.6398
300, 0.1495, 444.9012, 0.5408, 10.3207, 0.7640, 19.6398
301, 0.1500, 448.3083, 0.5530, 10.4022, 0.6908, 19.6397
302, 0.1505, 448.3083, 0.5799, 10.4975, 0.6908, 19.6397
303, 0.1510, 448.8761, 0.5921, 10.4135, 0.7661, 19.6397
304, 0.1515, 450.5796, 0.5213, 10.4511, 0.7295, 19.6397
305, 0.1520, 451.7153, 0.5189, 10.0192, 0.7030, 19.6397
306, 0.1525, 453.4188, 0.5628, 9.5668, 0.6460, 19.6397
307, 0.1530, 452.8510, 0.5408, 9.1877, 0.5809, 19.6397
308, 0.1535, 452.8510, 0.5457, 8.7817, 0.5382, 19.6397
309, 0.1540, 451.1475, 0.5579, 8.4818, 0.4812, 19.6397
310, 0.1545, 449.4439, 0.5530, 8.1877, 0.4405, 19.6397
311, 0.1550, 448.3083, 0.5482, 7.7949, 0.4344, 19.6397
312, 0.1555, 444.3334, 0.5750, 7.4823, 0.4304, 19.6396
313, 0.1560, 443.1977, 0.5360, 7.2580, 0.4161, 19.6396
314, 0.1565, 436.9515, 0.5921, 7.3787, 0.3897, 19.6396
315, 0.1570, 439.7907, 0.5872, 7.7172, 0.4039, 19.6396
316, 0.1575, 444.3334, 0.5750, 8.2473, 0.4914, 19.6396
317, 0.1580, 447.1726, 0.6141, 9.2048, 0.4873, 19.6396
318, 0.1585, 451.7153, 0.6239, 9.9815, 0.5809, 19.6396
319, 0.1590, 454.5545, 0.5579, 10.6328, 0.7050, 19.6396
320, 0.1595, 458.5294, 0.6190, 10.7007, 0.7173, 19.6396
321, 0.1600, 461.9364, 0.5970, 10.7007, 0.7173, 19.6396
322, 0.1605, 465.3434, 0.6580, 10.6836, 0.7315, 19.6396
323, 0.1610, 468.7504, 0.6361, 10.6777, 0.7417, 19.6395
324, 0.1615, 470.4540, 0.6165, 10.5156, 0.7763, 19.6395
325, 0.1620, 473.8610, 0.6336, 10.1833, 0.6562, 19.6395
326, 0.1625, 476.1323, 0.6654, 9.7226, 0.6114, 19.6395
327, 0.1630, 478.4037, 0.6605, 9.3821, 0.5301, 19.6395
328, 0.1635, 478.4037, 0.6263, 8.9205, 0.5178, 19.6395
329, 0.1640, 478.4037, 0.6287, 8.6185, 0.4731, 19.6395
330, 0.1645, 479.5394, 0.6507, 8.2194, 0.4405, 19.6395
331, 0.1650, 478.4037, 0.6507, 7.9073, 0.4202, 19.6395
332, 0.1655, 479.5394, 0.6361, 7.6239, 0.3917, 19.6395
333, 0.1660, 478.9715, 0.6458, 7.4358, 0.3632, 19.6395
334, 0.1665, 477.2680, 0.6629, 7.3313, 0.4080, 19.6394
335, 0.1670, 475.5645, 0.6483, 7.8437, 0.3673, 19.6394
336, 0.1675, 470.4540, 0.6043, 8.3166, 0.4548, 19.6394
337, 0.1680, 468.1826, 0.6361, 9.1261, 0.5158, 19.6394
338, 0.1685, 464.7756, 0.6361, 9.9044, 0.6135, 19.6394
339, 0.1690, 468.1826, 0.6312, 10.5698, 0.7152, 19.6394
340, 0.1695, 469.8861, 0.6312, 10.8531, 0.7437, 19.6394
341, 0.1700, 478.4037, 0.6483, 10.8639, 0.7030, 19.6394
342, 0.1705, 482.9464, 0.6116, 10.8556, 0.7152, 19.6394
343, 0.1710, 486.9213, 0.6287, 10.9855, 0.6969, 19.6394
344, 0.1715, 493.1675, 0.6092, 10.6787, 0.7091, 19.6394
345, 0.1720, 498.2780, 0.6141, 10.2698, 0.6318, 19.6393
346, 0.1725, 501.6851, 0.5897, 9.6914, 0.6216, 19.6393
347, 0.1730, 503.9564, 0.6116, 9.1394, 0.6318, 19.6393
348, 0.1735, 506.2278, 0.6434, 8.9014, 0.5178, 19.6393
349, 0.1740, 509.0670, 0.6556, 8.4427, 0.5138, 19.6393
350, 0.1745, 511.3383, 0.5775, 8.1950, 0.4344, 19.6393
351, 0.1750, 513.0418, 0.5994, 7.8403, 0.4283, 19.6393
352, 0.1755, 513.6097, 0.6409, 7.6386, 0.3795, 19.6393
353, 0.1760, 511.9061, 0.6605, 7.4729, 0.3429, 19.6393
354, 0.1765, 511.9061, 0.6580, 7.2463, 0.3836, 19.6393
355, 0.1770, 511.9061, 0.6532, 7.6815, 0.3754, 19.6393
356, 0.1775, 511.3383, 0.6483, 8.2160, 0.4751, 19.6392
357, 0.1780, 509.6348, 0.6409, 8.9859, 0.5585, 19.6392
358, 0.1785, 509.0670, 0.6507, 9.9337, 0.5891, 19.6392
359, 0.1790, 507.9313, 0.6702, 10.6411, 0.6928, 19.6392
360, 0.1795, 507.3634, 0.6776, 11.0954, 0.7376, 19.6392
361, 0.1800, 507.3634, 0.6776, 11.0588, 0.7681, 19.6392
362, 0.1805, 503.9564, 0.7215, 11.1198, 0.7173, 19.6392
363, 0.1810, 501.1172, 0.6141, 11.0173, 0.8027, 19.6392
364, 0.1815, 510.7705, 0.7093, 10.5253, 0.7417, 19.6392
365, 0.1820, 517.5845, 0.6654, 10.2571, 0.6053, 19.6392
366, 0.1825, 523.8308, 0.6654, 9.7857, 0.5748, 19.6392
